"";"BEMA";"CETE";"CHFU";"HOMA";"LEMA";"MESP";"PAIN";"PLCO";"POMA";"POMO";"PUPA";"SASO";"SCLA";"SOAS";"SPRU"
"BEMA";0,509852342401257;0,180412787307029;0,104602117987573;5,62769415492578e-08;0,0441569075684608;0,158239232775138;0,0681570212078768;0,193425761715079;0,0429018810962648;0,0487369171677529;0,190358038353481;0,220489649491495;0,0568075635335899;0,00743428748884738;0,215861836957982
"CETE";0,0574136852034619;0,515739324510547;0,0470795024326368;0,144327533954657;0,13597881268187;0,00243542739099659;0,180082176491851;0,0656598765714495;5,40563262347609e-07;0,00110602434032138;0,0364648968976706;0,156727303405105;0,230021228763696;0,128802470903198;0,110929570779646
"HOMA";0,218077921018208;0,183092779864392;0,505087978891137;4,45906208033054e-07;0,126481746661189;0,145125420507692;0,157860728359832;0,0380529293088296;0,257718639920159;0,0469468122699206;0,187677409056156;0,0300579365488634;0,0334146927360508;0,191217565904011;0,137339871459975
"LEMA";4,27013033361902e-07;0,0725258022817439;0,21536531347574;0,5;0,15952498574789;0,155524025283397;0,0125707257274249;0,100349931470311;0,309817181657398;0,0878264353739924;0,108630644161071;0,119376748507633;0,0633597101065116;0,204457653354469;0,0541319433511327
"PAIN";0,0322218356892954;0,0668155986179691;0,117780903877964;0,0467369387843756;0,512594482256725;0,142739107715647;0,245296157591466;1,88559035779851e-06;0,150881886871062;0,246917176477049;0,0711157288841707;0,167617655028845;0,241749219750453;0,275402225607135;0,215212960402546
"PLCO";0,145951740812796;0,193221247933215;0,271866244799833;3,13047312518553e-07;0,00374867597252728;0,56218872395434;0,283374169993074;0,091073828230792;0,156044385930773;0,0813717169698002;0,0934494433563757;0,080892862137763;0,03902084385174;0,30228600740854;0,19350219635584
"POMO";0,111341908738485;0,112549681547544;0,0272572586259392;0,207673782161089;0,245003419272504;0,274268725318972;0,500087744355249;0,209601979446153;6,85298072300225e-07;0,38916793716228;0,237215113726345;0,138042664629241;0,206710034247696;0,0418407181958832;0,281256283872186
"SASO";0,0899839236271471;0,268853674431594;0,0349502536603185;0,106761647804049;0,119321104840485;0,289083582593509;0,252331230127543;0,500011969514242;5,26664192706614e-07;0,490878542636909;0,154399723161434;0,308456870670475;0,118041664403077;NA;0,175176085808751
"CHFU";0,00716394047835487;0,0603276835708489;0,168968923939754;0,0200676406475095;3,32644437323994e-06;0,00561239388350651;NA;0,207141227797099;0,55205350384646;0,127803508268734;0,0857695896599118;0,052930994439609;0,20349247386636;0,0446331642147718;0,0951074983884774
"POMA";0,350651746344995;0,306595738337422;0,0491467748111605;0,000683105782525039;0,223663438008314;0,24727114158598;0,0186085385076936;0,205842680483166;2,57988247194547e-07;0,565223433027412;0,110694314611077;0,327216626007536;0,328458886660337;0,0764504035182295;0,00205978759669553
"SCLA";0,234627446952826;0,150775510332296;0,372984013673907;0,343335041206778;0,0776475064334139;0,0983082551395602;0,109607123944177;0,109426136489256;2,07718797232283e-06;0,124256533182862;0,517426850736812;0,0499822373719916;0,0333425362692785;0,107749229356048;0,0791296136293062
"SOAS";6,74508707609104e-07;0,142522408984158;0,0945958362619762;0,133898847707505;0,0243950160366348;0,164999513695034;0,0774662111656021;0,262066419534089;0,0216716392459847;9,09219707223485e-05;NA;0,682316698140051;0,17774779981007;0,0602016846942433;0,297176716483785
"PUPA";0,162073730089588;0,137025368803948;0,111314158146693;4,22811553819978e-08;0,237131834800858;0,129271858476603;0,000524578914190291;0,0978652189860205;0,0988105400126505;0,0210775311263603;0,0900935213380379;0,0358257406239923;0,562296801697224;0,137223058960799;0,261784241747616
"SPRU";0,105961283656241;0,159451164911299;0,102582578470415;0,109750160416201;0,107877590998561;3,39460159119794e-06;0,0997840349849642;0,160463557116764;0,105359268204632;0,118839446803798;0,107868880025541;0,119502005258328;0,120710840296472;0,511706018075493;0,106190934295186
"MESP";0,0260327610404543;0,497422283396555;0,484652998809451;6,63257532566658e-07;0,119937059077705;0,373097505641092;0,499360369903116;0,1533047808847;0,0743910216792549;0,131602951701195;0,241608322454142;0,123427780253388;0,0813887925526073;0,0782603083759289;0,934604035125178
