"year.predicted";"plot";"metric";"type";"intensity";"value"
"2016";1;"richness";"obs";1;16
"2017";1;"richness";"obs";1;10
"2018";1;"richness";"obs";1;14
"2019";1;"richness";"obs";1;8
"2016";2;"richness";"obs";1;16
"2017";2;"richness";"obs";1;11
"2018";2;"richness";"obs";1;14
"2019";2;"richness";"obs";1;13
"2016";3;"richness";"obs";1;11
"2017";3;"richness";"obs";1;10
"2018";3;"richness";"obs";1;14
"2019";3;"richness";"obs";1;9
"2016";4;"richness";"obs";1;18
"2017";4;"richness";"obs";1;14
"2018";4;"richness";"obs";1;11
"2019";4;"richness";"obs";1;7
"2016";5;"richness";"obs";1;16
"2017";5;"richness";"obs";1;11
"2018";5;"richness";"obs";1;12
"2019";5;"richness";"obs";1;5
"2016";6;"richness";"obs";1;15
"2017";6;"richness";"obs";1;14
"2018";6;"richness";"obs";1;10
"2019";6;"richness";"obs";1;5
"2016";7;"richness";"obs";1;6
"2017";7;"richness";"obs";1;15
"2018";7;"richness";"obs";1;6
"2019";7;"richness";"obs";1;NA
"2016";8;"richness";"obs";1;6
"2017";8;"richness";"obs";1;15
"2018";8;"richness";"obs";1;8
"2019";8;"richness";"obs";1;NA
"2016";9;"richness";"obs";1;5
"2017";9;"richness";"obs";1;14
"2018";9;"richness";"obs";1;NA
"2019";9;"richness";"obs";1;NA
"2016";1;"abundance";"obs";1;266,289553392083
"2017";1;"abundance";"obs";1;213,669649266535
"2018";1;"abundance";"obs";1;383,327581350762
"2019";1;"abundance";"obs";1;1065,59028063852
"2016";2;"abundance";"obs";1;266,289553392083
"2017";2;"abundance";"obs";1;392,977881548194
"2018";2;"abundance";"obs";1;380,349949875715
"2019";2;"abundance";"obs";1;677,974994707313
"2016";3;"abundance";"obs";1;296,269726790184
"2017";3;"abundance";"obs";1;389,207328434503
"2018";3;"abundance";"obs";1;383,327581350762
"2019";3;"abundance";"obs";1;810,291528809755
"2016";4;"abundance";"obs";1;366,789881096009
"2017";4;"abundance";"obs";1;635,558106183028
"2018";4;"abundance";"obs";1;764,120068498996
"2019";4;"abundance";"obs";1;716,404100405344
"2016";5;"abundance";"obs";1;266,289553392083
"2017";5;"abundance";"obs";1;396,226905507863
"2018";5;"abundance";"obs";1;770,588736599078
"2019";5;"abundance";"obs";1;610,66506202492
"2016";6;"abundance";"obs";1;269,512065462292
"2017";6;"abundance";"obs";1;295,671927378941
"2018";6;"abundance";"obs";1;782,348667309773
"2019";6;"abundance";"obs";1;668,754710138374
"2016";7;"abundance";"obs";1;288,559968183481
"2017";7;"abundance";"obs";1;421,677517597537
"2018";7;"abundance";"obs";1;347,59834463445
"2019";7;"abundance";"obs";1;NA
"2016";8;"abundance";"obs";1;688,667098520367
"2017";8;"abundance";"obs";1;420,929611461557
"2018";8;"abundance";"obs";1;342,990122234324
"2019";8;"abundance";"obs";1;NA
"2016";9;"abundance";"obs";1;438,773145100842
"2017";9;"abundance";"obs";1;323,762255683269
"2018";9;"abundance";"obs";1;NA
"2019";9;"abundance";"obs";1;NA
"2016";1;"evenness";"obs";1;5,33870309171362
"2017";1;"evenness";"obs";1;3,705726868711
"2018";1;"evenness";"obs";1;4,47686964990129
"2019";1;"evenness";"obs";1;2,62464524547182
"2016";2;"evenness";"obs";1;5,33870309171362
"2017";2;"evenness";"obs";1;3,58623420249173
"2018";2;"evenness";"obs";1;4,21867440863717
"2019";2;"evenness";"obs";1;2,11728386410609
"2016";3;"evenness";"obs";1;4,91284911052158
"2017";3;"evenness";"obs";1;3,43899578384599
"2018";3;"evenness";"obs";1;4,47686964990129
